OBJECTID,UNIT_ID,LMS_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY,Shape__Area,Shape__Length
11,226,,Elyria Canyon Park,Elyria Canyon Park,Open Access,35.898,35.89715323,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.10216565,-118.22328496,1550 Bridgeport Dr,Los Angeles,90065,,,No,1563673.71875,9288.18556867551
12,233,23123,Elysian Park,Elysian Park,Open Access,575.957,575.94771047,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0,3,2,2,0,1,0,0,13,5,0,0,0,0,1,0,8,18,15,2,Regional Recreation Park,34.08259128,-118.23887586,929  Academy Rd,Los Angeles,90012,,(213) 485-5054,No,25088181.9238281,66882.5620340399
13,245,2578,Elysian Valley Rec. Center,Elysian Valley Rec. Ctr.,Open Access,2.005,2.00498424,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,Local Park,34.09925487,-118.24474786,1811  Ripple St,Los Angeles,90039,,(323) 666-5058,No,87336.7646484375,1178.00555845059
14,257,23576,Emerald Park,Emerald Park,Open Access,3.881,3.88089416,"La Verne, City of",City,City Agency,http://www.ci.la-verne.ca.us/index.php/residents/parks,"La Verne, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,Local Park,34.12031255,-117.76997534,La Verne,La Verne,91750,,,No,169051.075195313,2160.97215270599
15,302,23163,Encino Park,Encino Park,Open Access,4.068,4.06760924,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Good,None,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,Local Park,34.16072073,-118.50270994,16953  Ventura Blvd,Encino,91316,,(818) 995-1690,No,177184.349609375,1868.27861733744
16,335,22808,Valley Glen Community Park,Valley Glen Community Park,Open Access,5.135,5.91504166,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,Present - Good,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Local Park,34.18239302,-118.41926077,Erwin St,Van Nuys,91401,,(818) 766-8445,No,257658.185546875,2054.94338894421
17,341,,Escondido Canyon Park,Escondido Canyon Park,Open Access,134.104,134.10388838,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.03726815,-118.77805169,27200 Winding Way,Malibu,90265,,,No,5841542.01855469,32496.413339383
18,345,,Escondido Canyon Park,Escondido Canyon Park,Open Access,10.371,10.37083693,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.03285468,-118.77413539,27200 Winding Way,Malibu,90265,,,No,451751.850585938,3222.84676381078
19,405,22952,Everett Park,Everett Park,Open Access,0.533,0.53272119,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.07010949,-118.24871361,Los Angeles,Los Angeles,90026,,,No,23205.2431640625,694.510950659919
20,411,2608,Evergreen Rec. Center,Evergreen Rec. Ctr.,Open Access,5.389,5.38895389,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,1,0,2,6,0,Local Park,34.03837,-118.20465269,2844  2nd St,Los Angeles,90033,,(323) 262-0397,No,234741.887695313,2093.93132407331
21,494,22690,Fehlhaber-Houk Park,Fehlhaber-Houk Park,Open Access,1.161,1.16104359,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.24063305,-118.27375517,9521  Tujunga Canyon Blvd,Tujunga,91042,,(818) 899-4537,No,50574.8564453125,983.501414185621
22,519,2165,Fernangeles Rec. Center,Fernangeles Rec. Ctr.,Open Access,9.263,9.26238581,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,1,3,4,1,Local Park,34.22910231,-118.40224761,8851  Laurel Canyon Blvd,Sun Valley,91352,,(818) 767-4171,No,403467.911132813,2537.85403026891
23,526,48171,Finkbiner Park,Finkbiner Park,Open Access,12.156,12.15600561,"Glendora, City of",City,City Agency,http://www.ci.glendora.ca.us/departments-services/parks-recreation-senior-services,"Glendora, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,2,1,4,1,1,1,1,2,1,0,0,0,0,2,0,1,15,1,1,Local Park,34.13777417,-117.86079228,160 N Wabash Ave,Glendora,91741,,,No,529513.482421875,3790.33444686657
24,617,23195,Fox Hills Park,Fox Hills Park,Open Access,10,9.99612767,"Culver City, City of",City,City Agency,http://www.culvercity.org/Home/Government/PRCS,"Culver City, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,Present - Good,0.5,3,3,2,0,1,10,0,3,1,0,0,0,0,0,0,1,21,3,0,Local Park,33.98349964,-118.38596878,Green Valley Cir & Buckingham Parkway,Culver City,90230,,,No,435429.576171875,2795.87002517658
25,625,,Fox Hills Parkette,Fox Hills Parkette,Open Access,0.95,0.12623348,"Culver City, City of",City,City Agency,http://www.culvercity.org/Home/Government/PRCS,"Culver City, City of",Park Node,Park < 5 Acres,Yes,Yes,Yes,Good,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,33.98727801,-118.38215872,Green Valley Cir & Buckingham Parkway,Culver City,90230,,,No,5498.705078125,371.276821883449
26,652,,Freedom Park (City of Hungtington Park),Freedom Park,Open Access,0.792,1.56956834,"Huntington Park, City of",City,City Agency,http://www.hpca.gov/index.aspx?nid=14,"Huntington Park, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Not Reported,Not Reported,Not Reported,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Local Park,33.98501562,-118.19651508,3801 E 61st St,Huntington Park,90255,,,No,68370.1240234375,1048.12031863783
27,657,,Freeman Donation,Freeman Donation,Open Access,1.051,1.05054051,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.09109397,-118.874598,,Malibu,90265,,,No,45761.3623046875,855.686559147588
28,665,71586,Balboa Sports Center,Balboa Sports Ctr.,Open Access,48.758,81.86571541,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0,16,2,4,12,0,0,0,0,1,0,0,0,1,0,0,4,13,23,4,Local Park,34.17630042,-118.50346387,17015 Burbank Blvd,Encino,91316,,,No,3566056.29882813,8238.70305065132
29,680,23072,Fremont Park,Fremont Park,Open Access,7.9,7.71860344,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Good,None,0,8,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,12,3,0,Local Park,34.15714414,-118.26805233,Fremont Park,Glendale,91203,,,No,336221.024414063,2485.41316124255
30,729,23413,Frontier Park (City of Cerritos),Frontier Park,Restricted Access,2.646,2.64639417,"Cerritos, City of",City,City Agency,http://www.ci.cerritos.ca.us/,"Cerritos, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,3,2,0,Local Park,33.8776489,-118.05991267,16910 Maria Ave,Cerritos,90703,,,No,115276.470703125,1532.45016337604
31,749,,Fryman Canyon Natural Area,Fryman Canyon Natural Area,Open Access,60.809,60.8071365,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12284769,-118.39278373,8401 Mulholland Dr,Studio City,91604,,,No,2648748.27539063,9275.09401622823
32,779,23532,Furman Park,Furman Park,Open Access,14.408,14.40877215,"Downey, City of",City,City Agency,http://www.downeyca.org/services/cs/default.asp,"Downey, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Poor,Present - Good,1.5,4,1,4,0,0,1,0,2,2,0,0,0,0,2,0,1,12,5,0,Local Park,33.95339162,-118.13748994,10419 Rives Ave,Downey,90241,,,No,627643.6015625,3171.91324113441
33,788,2617,Baldwin Hills Rec. Center,Baldwin Hills Rec. Ctr.,Open Access,6.868,6.86761811,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,2,3,0,0,0,0,0,2,0,0,0,1,1,0,0,2,7,0,Local Park,34.02442519,-118.36416306,5401  Highlight Pl,Los Angeles,90016,,(323) 934-0746,No,299152.256835938,2824.91792938363
34,826,,Garden of the Gods,Garden of the Gods,Open Access,27.221,27.21860577,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.27324086,-118.6109988,Chatsworth,Chatsworth,91311,,,No,1185637.72363281,7126.1677640786
35,831,,Garden of the Gods Park,Garden of the Gods Park,Open Access,55.028,55.02386395,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27450879,-118.60171477,Chatsworth,Chatsworth,91311,,,No,2396829.92578125,7658.80831357811
36,839,59119,Garfield Park (City of Pomona),Garfield Park,Open Access,2.655,2.6549588,"Pomona, City of",City,City Agency,http://ci.pomona.ca.us/index.php/visitors/park-directory,"Pomona, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,Local Park,34.06344135,-117.7339032,Pomona,Pomona,91767,,,No,115649.543945313,1370.24937195692
37,855,23292,Garvanza Park,Garvanza Park,Open Access,8.274,8.27332677,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,1,2,0,1,1,1,2,0,0,0,0,0,0,1,3,4,2,Local Park,34.11932232,-118.1807618,6240  Meridian St,Los Angeles,90042,,(323) 255-0370,No,360384.671875,2768.60169128936
38,863,59113,Garvey Park,Garvey Park,Open Access,12.59,9.64777315,"Rosemead, City of",City,City Agency,http://www.cityofrosemead.org/index.aspx?page=74,"Rosemead, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,5,0,2,0,1,1,0,9,3,1,1,0,1,1,0,2,22,5,0,Local Park,34.06719421,-118.09614015,7933 Emerson Pl,Rosemead,91770,,,No,420255.317382813,2594.3205046189
39,870,23504,Garvey Ranch Park,Garvey Ranch Park,Open Access,18.265,18.26450692,"Monterey Park, City of",City,City Agency,http://www.ci.monterey-park.ca.us/,"Monterey Park, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,2,1,2,1,1,0,0,3,2,0,0,0,0,1,0,2,14,0,1,Local Park,34.05283224,-118.11440881,781 S Orange Ave,Monterey Park,91755,,,No,795598.73828125,3768.81182280053
40,908,23118,Genesee Avenue Park,Genesee Avenue Park,Open Access,5.853,5.85263025,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Local Park,34.03637138,-118.36794281,2330  Genesee Ave,Los Angeles,90016,,(310) 840-2186,No,254939.5546875,2027.45316666135
41,919,23251,George E. Elder Park,George E. Elder Park,Open Access,13.929,13.92890881,"Monterey Park, City of",City,City Agency,http://www.ci.monterey-park.ca.us/,"Monterey Park, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,4,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,10,0,0,Local Park,34.04071588,-118.12547724,1950 Wilcox Ave,Monterey Park,91755,,,No,606740.842773438,4576.02721475492
42,934,23159,George Izay Park,George Izay Park,Open Access,15.698,15.6968767,"Burbank, City of",City,City Agency,http://burbankca.gov/departments/park-recreation-and-community-services/parks-facilities,"Burbank, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,2,0,4,0,0,0,0,0,2,0,0,0,1,1,1,2,1,11,1,Local Park,34.17177962,-118.31992839,1111 W Olive Ave,Burbank,91506,,,No,683753.209960938,3472.94540854825
43,948,3000087,George Lane Park,George Lane Park,Open Access,13.667,13.66453327,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,None,0,0,2,1,0,1,0,1,0,1,1,0,0,1,1,0,2,4,4,3,Local Park,34.65148079,-118.22852175,5520 W. Ave. L-8,Lancaster,93536,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
June 15th to August 22nd<br>
Pool Operating Hours<br>
Monday - Friday<br>
11:00am to 7:00pm<br>
Saturday<br>
9:00am to 5:00pm<br>
Sunday Closed","General: (661) 722-7780; Reservations: (800) 267-2757; Aquatics: (661) 722-4301",Yes,595224.689453125,3150.23187528167
44,953,23586,George Manooshian Park,George Manooshian Park,Restricted Access,18.844,18.84279823,Glendora Unified School District,Special District,School District,http://www.glendora.k12.ca.us/,"Glendora, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,6,9,5,0,2,1,0,0,1,0,0,0,0,0,0,0,12,12,0,Local Park,34.14954187,-117.84840955,Glendora,Glendora,91741,,,No,820789.004882813,4139.26421231722
45,970,2573,Gilbert Lindsay Community Center Park,Gilbert Lindsay Community Ctr. Park,Open Access,17.715,17.7153951,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,2,1,2,0,1,1,1,2,0,0,0,0,1,0,0,6,4,0,Local Park,34.00739408,-118.26742877,429  42nd Pl,Los Angeles,90011,,(323) 846-7584,No,771679.524414063,3816.82956700306
46,1002,23261,Gladstone Park (City of Azusa),Gladstone Park,Open Access,4.901,4.9012486,"Azusa, City of",City,City Agency,http://www.ci.azusa.ca.us/index.aspx?NID=249,"Azusa, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,Present - Good,0.3,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,2,7,2,0,Local Park,34.11613096,-117.90184118,414 S. Pasadena Ave.,Azusa,91702,<Null>,,No,213497.534179688,1914.67135260775
47,1011,2589,Glassell Park and Rec. Center,Glassell Park and Rec. Ctr.,Open Access,12.663,12.6625152,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,2,1,3,0,1,1,0,1,1,1,0,0,1,1,0,1,0,13,1,Local Park,34.11615634,-118.23252256,3650  Verdugo Rd,Los Angeles,90065,,(323) 257-1863,No,551576.955078125,3646.28054666477
48,1047,58520,Adult Recreation Center & Central Park,Central Park & Adult Rec. Ctr.,Open Access,3.16,3.39026783,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,Local Park,34.14312068,-118.25348768,201 E Colorado St,Glendale,91205,,,No,147679.475585938,1576.13185496243
49,1063,3000068,Gloria Heer Park,Gloria Heer Park,Open Access,10.36,10.35980786,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Poor,Not Reported,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,4,2,Local Park,33.97894757,-117.91297268,18109 E. Gallineta St.,Rowland Heights,91748,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm","General: (626) 333-1369; Reservations: (888) 239-6700",Yes,451271.416015625,2827.01645308023
50,1094,23547,Golden Park,Golden Park,Open Access,8.088,8.08806842,"Downey, City of",City,City Agency,http://www.downeyca.org/services/cs/default.asp,"Downey, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Poor,0.5,0,1,1,0,1,0,0,3,1,0,0,0,0,1,0,1,0,9,0,Local Park,33.90721825,-118.14653668,8840 Golden St,Downey,90242,,,No,352314.849609375,2387.14196503873
51,1121,,Gothic Rinaldi Park,Gothic Rinaldi Park,Open Access,3.561,3.56034896,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27800621,-118.48130623,,Granada Hills,91344,,,No,155088.169921875,2292.54190532348
52,1142,2592,Granada Hills Park,Granada Hills Park,Open Access,18.336,18.33485937,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,4,1,4,0,2,0,0,1,1,1,0,0,1,0,0,1,1,11,4,Local Park,34.26288013,-118.49678632,16730  Chatsworth St,Granada Hills,91344,,(818) 363-3556,No,798663.280273438,3808.3861734012
