OBJECTID,area_pop,area_per1k,area_1k,park_reproject_meters_UNIT_ID,park_reproject_meters_LMS_ID,park_reproject_meters_PARK_NAME,park_reproject_meters_PARK_LBL,park_reproject_meters_ACCESS_TYP,park_reproject_meters_RPT_ACRES,park_reproject_meters_GIS_ACRES,park_reproject_meters_AGNCY_NAME,park_reproject_meters_AGNCY_LEV,park_reproject_meters_AGNCY_TYP,park_reproject_meters_AGNCY_WEB,park_reproject_meters_MNG_AGENCY,park_reproject_meters_COGP_TYP,park_reproject_meters_NDS_AN_TYP,park_reproject_meters_NEEDS_ANLZ,park_reproject_meters_TKIT_SUM,park_reproject_meters_AMEN_RPT,park_reproject_meters_PRKINF_CND,park_reproject_meters_AM_OPNSP,park_reproject_meters_AM_TRLS,park_reproject_meters_TRLS_MI,park_reproject_meters_TENIS,park_reproject_meters_BSKTB,park_reproject_meters_BASEB,park_reproject_meters_SOCCR,park_reproject_meters_MPFLD,park_reproject_meters_FITZN,park_reproject_meters_SK8PK,park_reproject_meters_PCNIC,park_reproject_meters_PLGND,park_reproject_meters_POOLS,park_reproject_meters_SPPAD,park_reproject_meters_DGPRK,park_reproject_meters_GYM,park_reproject_meters_COMCT,park_reproject_meters_SNRCT,park_reproject_meters_RSTRM,park_reproject_meters_TOTAL_GOOD,park_reproject_meters_TOTAL_FAIR,park_reproject_meters_TOTAL_POOR,park_reproject_meters_TYPE,park_reproject_meters_CENTER_LAT,park_reproject_meters_CENTER_LON,park_reproject_meters_ADDRESS,park_reproject_meters_CITY,park_reproject_meters_ZIP,park_reproject_meters_HOURS,park_reproject_meters_PHONES,park_reproject_meters_IS_COUNTY,park_reproject_meters_Shape__Are,park_reproject_meters_Shape__Len
"1116",1543.964,0.622,6.216,"7091",,Forest Cove Park,Forest Cove Park,Open Access,9.598000000000001,9.597150750000001,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,Present - Good,0.400000000000000,"0","1","1","0","0","0","0","1","2","0","0","0","0","0","0","1","6","0","0",Local Park,34.152028620000003,-118.774994730000003,5451 Forest Cove Lane,Agoura Hills,"91301",<Null>,,No,418050.212890625000000,2754.672814093230045
"1112",2321.769,0.186,1.863,"7087",,Morrison Park,Morrison Park,Open Access,4.326000000000000,4.325661670000000,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","5","0","0",Local Park,34.155599660000000,-118.774051889999996,29909 Forest Cove Lane,Agoura Hills,"91301",<Null>,,No,188425.067382812994765,1790.568277356929684
"2532",92.721,4.208,42.076,"46240",,Agoura Hills Recreation and Event Center,Agoura Hills Rec. and Event Ctr.,Open Access,3.901000000000000,3.901297460000000,Joni and Friends,Non Profit,Non Profit - Other,http://www.joniandfriends.org/,"Agoura Hills, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","4","0","0",Local Park,34.143552040000003,-118.777318989999998,29900 Ladyface Court,Agoura Hills,"91301",<Null>,,No,169939.845703125000000,1878.662542506539921
"1109",3070.588,0.398,3.976,"7084","23064",Chumash Park,Chumash Park,Open Access,12.211000000000000,12.210123240000000,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","1","5","0","0",Local Park,34.150248820000002,-118.755850480000007,5550 Medea Valley Drive,Agoura Hills,"91301",<Null>,,No,531870.846679687965661,3948.716443894069926
"1183",176.808,3.455,34.551,"7238",,Puerco Beach,Puerco Beach,Open Access,9.211000000000000,6.108867610000000,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.033021920000003,-118.735135310000004,Puerco Beach,Malibu,"90265",,,No,266101.215820313023869,7850.059378046110396
"1111",1616.126,0.220,2.201,"7086","23148",Sumac Park,Sumac Park,Open Access,3.557000000000000,3.556924680000000,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","4","0","0",Local Park,34.159450950000000,-118.755182439999999,6000 Calmfield Avenue,Agoura Hills,"91301",<Null>,,No,154939.017578125000000,1627.374446037119924
"1184",288.187,230.554,2305.539,"7241","25762",Solstice Canyon,Solstice Canyon,Open Access,664.427999999999997,664.426276179999945,United States National Park Service,Federal,Federal Agency,http://www.nps.gov/,United States National Park Service,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.049010910000000,-118.754561330000001,3455 Solstice Canyon Rd,Malibu,"90265",,,No,28942292.831054698675871,47843.068644843908260
"1117",1691.255,9.109,91.087,"7093",,Unnamed site - Santa Monica Mountains Conservancy,,Unknown Access,154.057999999999993,154.051263619999986,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.159907250000003,-118.748886450000001,,Agoura Hills,"91301",,,No,6710446.201171878725290,12191.811509625700637
"1114",1595.104,0.618,6.184,"7089","23000",Old Agoura Park,Old Agoura Park,Open Access,9.865000000000000,9.864770930000001,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,Present - Good,1.000000000000000,"0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","5","0","0",Local Park,34.146693599999999,-118.739166679999997,5301 Chesebro Road,Agoura Hills,"91301",<Null>,,No,429707.708007813023869,2705.228518888020062
"1107",556.109,59.973,599.734,"7082",,Cheeseboro and Palo Comado Canyons,Cheeseboro and Palo Comado Canyons,Open Access,337.201000000000022,333.517428289999998,United States National Park Service,Federal,Federal Agency,http://www.nps.gov/,United States National Park Service,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.162335249999998,-118.724410939999999,5792 Chesebro Rd,Agoura Hills,"91301",,,No,14527961.060546899214387,16549.343823349099694
"144",882.305,13.916,139.164,"3578","22743",Bell Canyon Park,Bell Canyon Park,Open Access,122.792000000000002,122.784967850000001,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.202423639999999,-118.663407599999999,West Hills,West Hills,"91307",,,No,5348491.802734379656613,18883.021714201000577
"76",18.754,568.910,5689.096,"1771",,Abrams,Abrams,Unknown Access,106.697000000000003,106.693315740000003,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.134769429999999,-118.732676880000000,30605 Vets Ct,Agoura Hills,"91301",,,No,4647542.243164059706032,9189.384560556189172
"1108",109.964,372.524,3725.241,"7083",,Liberty Canyon Open Space,Liberty Canyon OS,Open Access,409.660000000000025,409.642435470000009,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.148886359999999,-118.729383870000007,,Agoura Hills,"91301",,,No,17843953.112304698675871,27163.085289195900259
"1120",636.102,28.326,283.263,"7097",,Peacock Ridge Open Space,Peacock Ridge OS,Open Access,180.189999999999998,180.184156449999989,"Calabasas, City of",City,City Agency,http://www.cityofcalabasas.com/recreation.html,"Calabasas, City of",Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.129831879999998,-118.714957859999998,,Agoura Hills,"91301",,,No,7848790.479492190293968,25891.334316294000018
"2418",879.695,0.513,5.125,"46084",,Agoura Hills Calabasas Community Center,Agoura Hills Com. Ctr.,Open Access,4.509000000000000,4.508787550000000,"Calabasas, City of",City,City Agency,http://www.cityofcalabasas.com/recreation.html,"Calabasas, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","2","0","0","0","3","0","1","0","0","0","0","1","1","0","0","8","0","0",Local Park,34.136084869999998,-118.713671320000003,27040 Malibu Hills Rd,Agoura Hills,"91301",,,No,196401.994140625000000,2227.319228644750183
"1122",121.420,2.517,25.169,"7099","23136",Grape Arbor Park,Grape Arbor Park,Open Access,3.056000000000000,3.055963060000000,"Calabasas, City of",City,City Agency,http://www.cityofcalabasas.com/recreation.html,"Calabasas, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","1","1","0","2","0","0","1","2","0","0","0","0","0","0","1","8","0","0",Local Park,34.142458679999997,-118.710740810000004,5100 Parkville Rd,Agoura Hills,"91301",,,No,133117.217773437994765,1566.906977116040025
"1130",360.914,1.026,10.258,"7108",,Las Virgenes Creek Open Space,Las Virgenes Creek OS,Open Access,3.702000000000000,3.702371290000000,"Calabasas, City of",City,City Agency,http://www.cityofcalabasas.com/recreation.html,"Calabasas, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.127811739999999,-118.707084920000000,Las Virgenes Rd,Calabasas,"91302",,,No,161274.639648437994765,3515.224736860689973
"1106",401.742,78.619,786.186,"7080",,Shea Open Space - Las Virgenes,Shea OS - Las Virgenes,Open Access,335.685999999999979,315.844022549999977,United States National Park Service,Federal,Federal Agency,http://www.nps.gov/,United States National Park Service,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.161141469999997,-118.710103349999997,Western end of Victory Boulevard,Calabasas,"91302",,,No,13758110.590820299461484,38637.157342750302632
"1121",173.325,6.442,64.424,"7098",,Juan Bautista de Anza,Juan Bautista de Anza Park,Open Access,11.167000000000000,11.166274550000001,"Calabasas, City of",City,City Agency,http://www.cityofcalabasas.com/recreation.html,"Calabasas, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,Present - Good,1.000000000000000,"0","3","0","0","3","0","0","4","4","0","1","0","0","2","0","1","18","0","0",Local Park,34.126299340000003,-118.707764810000000,3701 Lost Hills Rd,Agoura Hills,"91301",,,No,486400.967773438023869,4399.905098308890047
"2008",1035.778,18.553,185.530,"44386",,Zev Yaroslavsky Las Virgenes Highlands Park,Zev Yaroslavsky Las Virgenes Highlands Park,Open Access,192.175999999999988,192.168122699999998,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.150155900000001,-118.703307870000003,5215 Las Virgenes Rd,Calabasas,"91302",,,No,8370809.942382809706032,14139.232254297499821
"4",481.180,13.787,137.865,"72","22715",El Escorpion Park,El Escorpion Park,Open Access,66.914000000000001,66.338028760000000,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,None,Present - Fair,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Local Park,34.196741780000004,-118.664168500000002,6801  Sunset Ridge Ct,West Hills,"91307",,(818) 883-6641,No,2889672.970703130122274,7761.831975408200378
